========================================================================
AGENT RESEARCH: Research fastest tunneling options
Session: e7527a2b-efc5-4a68-ac70-b4f3a07c1d1b
Time: 2026-04-12 07:48:24 UTC
========================================================================

I need to expose a local Flask app (running on localhost:5001) to the internet with the FASTEST possible latency. The app streams MJPEG video feeds (2 camera streams, ~3-6MB/s total) and uses WebSocket (Socket.IO) for real-time events.

Current setup: Cloudflare quick tunnel (free) — it's very slow for video streaming.

Research ALL of these options and compare them specifically for low-latency video streaming:

1. **ngrok** — free tier vs paid, latency benchmarks, MJPEG support
2. **Tailscale Funnel** — peer-to-peer, does it support exposing to public internet?
3. **Cloudflare Tunnel** with a paid account — faster than quick tunnels?
4. **bore** (Rust-based tunnel) — how fast is it?
5. **localtunnel** — npm-based
6. **Serveo** — SSH-based
7. **Pinggy** — claims low latency
8. **localhost.run** — SSH-based
9. **zrok** — open source, self-hostable

Also research:
- Can we reduce MJPEG bandwidth without losing quality? (adaptive quality, resolution reduction, frame skipping)
- Would switching from MJPEG to WebRTC eliminate the tunnel latency problem entirely? (peer-to-peer, no server relay for video)
- Are there any Flask/Python libraries that make WebRTC easy?

For each tunnel option, report: free tier limits, measured latency (if benchmarks exist), bandwidth limits, WebSocket support, and ease of setup.

Give me a clear ranking of what to use.

----------------------------------------

Now I have comprehensive data. Let me compile the full analysis.

---

Here is the complete research and ranking for your use case (MJPEG video streaming at 3-6 MB/s + WebSocket/Socket.IO).

---

## Your Core Problem

At 3-6 MB/s, you will transfer **10-22 GB per hour**. This immediately eliminates most free-tier tunnels and makes bandwidth caps the primary constraint, not just latency.

---

## Tunnel-by-Tunnel Analysis

### 1. ngrok

| Attribute | Detail |
| **1** | **WebRTC via aiortc** | Eliminates the tunnel bottleneck entirely. Video goes P2P. Tunnel only carries signaling (~KB/s). Sub-200ms latency. Requires frontend rewrite. |
| **2** | **bore (self-hosted on a VPS)** | If you have a VPS, bore adds <5% overhead. Your bottleneck becomes your home upload speed, not the tunnel. Free, fast, simple. |
| **3** | **Tailscale Funnel** | No bandwidth caps, no TOS issues, 10-80ms added latency, simple setup (`tailscale funnel 5001`). Best "just works" option. |
| **4** | **bore (public relay)** | `bore local 5001 --to bore.pub` — free, fast, zero config. No SLA on the public relay though. |
| **5** | **MJPEG + aggressive quality reduction** | Not a tunnel, but dropping to 480p/quality-40/10fps can reduce your bandwidth to <500 KB/s, making ANY tunnel viable. Combine with option 3 or 4. |
| **6** | **Cloudflare Tunnel** | Decent throughput but **TOS 2.8 prohibits video streaming**. Risk of account action. |
| **7-9** | ngrok / Pinggy / localtunnel | Too slow, too expensive, or too unreliable for your bandwidth needs. |

**My recommendation:** Start with **Tailscale Funnel** today (5-minute setup, no code changes) combined with **MJPEG quality reduction** (drop to 480p, quality 50, 10fps). That gets you working immediately. Then migrate to **WebRTC via aiortc** when you have time for the frontend rewrite — that is the real long-term solution that makes the tunnel question irrelevant.

Sources:
- [LocalCan Speed Test: Ngrok vs Cloudflare vs Pinggy 2025](https://www.localcan.com/blog/ngrok-vs-cloudflare-tunnel-vs-localcan-speed-test-2025)
- [ngrok Pricing](https://ngrok.com/pricing)
- [Tailscale Funnel Docs](https://tailscale.com/kb/1223/funnel)
- [Tailscale Funnel vs Cloudflare vs Nginx 2025](https://onidel.com/blog/tailscale-cloudflare-nginx-vps-2025)
- [Cloudflare TOS 2.8 Video Restrictions](https://community.cloudflare.com/t/cloudflare-tunnels-and-video-based-traffic-bandwidth-restrictions/722185)
- [Cloudflare Video Delivery Policy](https://developers.cloudflare.com/fundamentals/reference/policies-compliances/delivering-videos-with-cloudflare/)
- [bore GitHub (ekzhang/bore)](https://github.com/ekzhang/bore)
- [Pinggy ngrok Alternatives 2026](https://pinggy.io/blog/best_ngrok_alternatives/)
- [aiortc GitHub](https://github.com/aiortc/aiortc)
- [LiveStream-WebRTC-Flask-OpenCV](https://github.com/supersjgk/LiveStream-WebRTC-Flask-OpenCV)
- [Serveo.net](https://serveo.net/)
- [WebRTC Latency Comparison 2026](https://www.nanocosmos.net/blog/webrtc-latency/)
- [Flask Video Streaming Revisited (Miguel Grinberg)](https://blog.miguelgrinberg.com/post/flask-video-streaming-revisited)
- [Tunneling Benchmarks 2026 (InstaTunnel)](https://instatunnel.substack.com/p/tunneling-at-the-edge-2026-performance)
agentId: a13366dab0aa1b11d (use SendMessage with to: 'a13366dab0aa1b11d' to continue this agent)
<usage>total_tokens: 34791
tool_uses: 20
duration_ms: 371169</usage>

========================================================================
END OF AGENT RESEARCH
========================================================================
